Entity,Year,Iron and steel production,"Military expenditure (1816-1913, current prices)","Military expenditure (1914-2007, current prices)",Military personnel,"Military expenditure (1830-1913, real prices)","Military expenditure (1914-2007, real prices)"
Antigua and Barbuda,1990,,,3900,,,4783.151116
Antigua and Barbuda,1994,,,3000,,,3329.312915
Antigua and Barbuda,1995,,,3000,,,3261.683484
Antigua and Barbuda,1996,,,4000,,,4270.664928
Antigua and Barbuda,1997,,,3000,,,3149.21164
Antigua and Barbuda,1998,,,4000,,,4153.690084
Antigua and Barbuda,1999,,,4000,,,4090.920445
Antigua and Barbuda,2000,,,4000,,,4000
Antigua and Barbuda,2001,,,4000,,,3911.164179
Antigua and Barbuda,2002,,,4000,,,3851.834431
Antigua and Barbuda,2003,,,4000,,,3776.343094
Antigua and Barbuda,2004,,,4000,,,3675.493716
Antigua and Barbuda,2005,,,5000,,,4451.027286
Antigua and Barbuda,2006,,,5000,,,4318.637275
Antigua and Barbuda,2007,,,5000,,,4206.389973
Argentina,1841,,386,,7,424.989899,
Argentina,1842,,298,,,338.3541667,
Argentina,1843,,239,,,280.1182796,
Argentina,1844,,269,,,305.4270833,
Argentina,1845,,238,,,267.443299,
Argentina,1846,,199,,,223.6185567,
Argentina,1847,,293,,,310.0679612,
Argentina,1848,,269,,,305.4270833,
Argentina,1849,,366,,2,415.5625,
Argentina,1850,,485,,4,587.3888889,
Argentina,1851,,,,5,,
Argentina,1852,,,,7,,
Argentina,1853,,,,6,,
Argentina,1854,,,,4,,
Argentina,1855,,,,3,,
Argentina,1856,,,,5,,
Argentina,1857,,196,,6,209.4509804,
Argentina,1858,,,,5,,
Argentina,1859,,,,5,,
Argentina,1860,,253,,5,275.77,
Argentina,1861,,,,5,,
Argentina,1862,,,,6,,
Argentina,1863,,,,12,,
Argentina,1864,,,,12,,
Argentina,1865,,564,,15,564,
Argentina,1866,,,,15,,
Argentina,1867,,298,,15,292.6306306,
Argentina,1868,,623,,15,628.7685185,
Argentina,1869,,751,,15,757.9537037,
Argentina,1870,,746,,15,759.9439252,
Argentina,1871,,126,,9,124.8545455,
Argentina,1872,,115,,6,108.0603448,
Argentina,1873,,175,,7,158.9583333,
Argentina,1874,,115,,7,109,
Argentina,1875,,90,,7,88.37837838,
Argentina,1876,,100,,10,100,
Argentina,1877,,104,,10,105.9439252,
Argentina,1878,,974,,10,1020.826923,
Argentina,1879,,896,,8,948.1941748,
Argentina,1880,,784,,9,837.8039216,
Argentina,1881,,1093,,9,1168.009804,
Argentina,1882,,1234,,10,1293.326923,
Argentina,1883,,1359,,8,1466.643564,
Argentina,1884,,1530,,9,1701.734694,
Argentina,1885,,1684,,9,1892.329897,
Argentina,1886,,1538,,12,1728.268041,
Argentina,1887,,1584,,10,1779.958763,
Argentina,1888,,1708,,10,1899.714286,
Argentina,1889,,1085,,10,1170.940594,
Argentina,1890,,1082,,8,1156.254902,
Argentina,1891,,1078,,8,1175.02,
Argentina,1892,,,,10,,
Argentina,1893,,1304,,11,1421.36,
Argentina,1894,,1335,,10,1440.742574,
Argentina,1895,,1381,,15,1505.29,
Argentina,1896,,3191,,19,3513.323232,
Argentina,1897,,3211,,20,3465.336634,
Argentina,1898,,1848,,43,1974.823529,
Argentina,1899,,1663,,18,1742.951923,
Argentina,1900,,2406,,18,2406,
Argentina,1901,,2004,,18,2041.457944,
Argentina,1902,,2283,,24,2347.613208,
Argentina,1903,,2134,,24,2194.396226,
Argentina,1904,,2173,,24,2255.780952,
Argentina,1905,,2247,,24,2332.6,
Argentina,1906,,2640,,24,2689.345794,
Argentina,1907,,2905,,24,2905,
Argentina,1908,,2905,,18,2931.898148,
Argentina,1909,,3338,,27,3368.907407,
Argentina,1910,,3504,,29,3472.145455,
Argentina,1911,,3943,,30,3907.154545,
Argentina,1912,,4568,,30,4367.649123,
Argentina,1913,,4841,,30,4628.675439,
Argentina,1914,,,12701,30,,168844.9497
Argentina,1915,,,22273,30,,287234.011
Argentina,1916,,,10856,30,,124161.7095
Argentina,1917,,,11805,30,,109480.3454
Argentina,1918,,,12197,31,,97066.31001
Argentina,1919,,,,28,,
Argentina,1920,,,27931,29,,190447.0933
Argentina,1921,,,28783,30,,230179.6748
Argentina,1922,,,26748,29,,226514.3454
Argentina,1923,,,43032,34,,354516.1449
Argentina,1924,,,37485,38,,312591.3086
Argentina,1925,,,46190,37,,378249.91
Argentina,1926,,,59509,37,,485377.6902
Argentina,1927,,,50322,37,,420496.7939
Argentina,1928,,,48982,37,,405985.4231
Argentina,1929,,,46838,38,,387430.6889
Argentina,1930,,,60441,38,,518816.9277
Argentina,1931,,,44626,42,,427417.9111
Argentina,1932,,,35302,43,,382898.1166
Argentina,1933,,,43024,43,,479351.7497
Argentina,1934,,,38557,44,,407410.6748
Argentina,1935,,,45183,44,,467766.8609
Argentina,1936,,,58311,44,,596140.7978
Argentina,1937,,,82099,57,,806125.5528
Argentina,1938,,,41860,59,,422677.6079
Argentina,1939,18,,58984,61,,600771.1144
Argentina,1940,24,,69908,,,704153.2743
Argentina,1941,45,,77783,,,733830.6302
Argentina,1942,53,,98297,,,859075.9157
Argentina,1943,73,,58374,,,488278.5352
Argentina,1944,150,,223944,,,1828392.239
Argentina,1945,141,,299824,,,2386062.912
Argentina,1946,133,,255555,62,,1800980.977
Argentina,1947,125,,282293,62,,1793403.706
Argentina,1948,122,,299976,62,,1806252.547
Argentina,1949,125,,489598,62,,2952369.677
Argentina,1950,130,,320525,62,,1908930.345
Argentina,1951,132,,326267,62,,1815081.836
Argentina,1952,126,,442667,62,,2421509.728
Argentina,1953,174,,503333,71,,2718861.436
Argentina,1954,186,,566133,71,,3030106.625
Argentina,1955,218,,411867,148,,2167595.67
Argentina,1956,202,,301111,148,,1532503.405
Argentina,1957,221,,395278,147,,1946441.096
Argentina,1958,244,,265703,145,,1279906.981
Argentina,1959,214,,252657,145,,1200120.75
Argentina,1960,277,,288613,130,,1352089.163
Argentina,1961,442,,330919,127,,1533613.86
Argentina,1962,644,,404818,129,,1853021.018
Argentina,1963,913,,299687,155,,1356626.226
Argentina,1964,1267,,340815,155,,1519289.077
Argentina,1965,1371,,428781,155,,1877693.909
Argentina,1966,1286,,510499,160,,2173934.639
Argentina,1967,1348,,341560,160,,1413357.676
Argentina,1968,1579,,307000,160,,1218624.818
Argentina,1969,1720,,434631,160,,1644728.863
Argentina,1970,1859,,514286,140,,1847954.39
Argentina,1971,1743,,478261,140,,1635956.278
Argentina,1972,1929,,426829,140,,1399240.465
Argentina,1973,1995,,468085,160,,1455257.428
Argentina,1974,2196,,719101,150,,2051818.149
Argentina,1975,2043,,628415,160,,1640972.715
Argentina,1976,2244,,571428,155,,1414577.96
Argentina,1977,2671,,1020608,155,,2378417.448
Argentina,1978,2651,,1491581,155,,3248552.343
Argentina,1979,3090,,2641609,155,,5313715.574
Argentina,1980,2556,,3060636,155,,5647487.202
Argentina,1981,2389,,3573110,155,,6030543.65
Argentina,1982,2752,,4147000,175,,6590293.615
Argentina,1983,2828,,2337872,175,,3574464.863
Argentina,1984,2508,,2282003,174,,3368906.178
Argentina,1985,2775,,1889000,129,,2702484.451
Argentina,1986,3116,,1150000,104,,1612559.932
Argentina,1987,3463,,1220000,118,,1668154.951
Argentina,1988,3527,,1240000,95,,1638328.493
Argentina,1989,3909,,790800,95,,1005724.678
Argentina,1990,3636,,770980,85,,945567.6531
Argentina,1991,2991,,2720000,70,,3228127.536
Argentina,1992,2700,,2600000,65,,3017061.074
Argentina,1993,2886,,2700000,65,,3060249.135
Argentina,1994,3289,,3738000,69,,4148323.892
Argentina,1995,3581,,3879000,65,,4217356.745
Argentina,1996,4075,,4644000,65,,4958241.982
Argentina,1997,4169,,4972000,65,,5219293.424
Argentina,1998,4216,,5365000,73,,5571136.825
Argentina,1999,3799,,5418000,73,,5541151.742
Argentina,2000,4474,,4776000,71,,4776000
Argentina,2001,4107,,4408000,70,,4310102.925
Argentina,2002,4356,,1466000,69,,1411697.319
Argentina,2003,5044,,1507000,71,,1422737.261
Argentina,2004,5133,,1629000,71,,1496844.816
Argentina,2005,5380,,1780000,71,,1584565.714
Argentina,2006,5533,,1873000,71,,1617761.523
Argentina,2007,5387,,2093000,72,,1760794.843
Armenia,1991,,,147000,,,174461.3043
Armenia,1992,,,75000,20,,87030.60791
Armenia,1993,,,151000,21,,171147.2664
Armenia,1994,,,,45,,
Armenia,1995,,,79000,60,,85890.99841
Armenia,1996,,,125000,60,,133458.279
Armenia,1997,,,138000,60,,144863.7354
Armenia,1998,,,151000,50,,156801.8007
Armenia,1999,,,159000,50,,162614.0877
Armenia,2000,,,690000,41,,690000
Armenia,2001,,,637000,42,,622852.8955
Armenia,2002,,,700000,44,,674071.0254
Armenia,2003,,,700000,45,,660860.0415
Armenia,2004,,,98000,46,,90049.59605
Armenia,2005,,,125000,48,,111275.6821
Armenia,2006,,,184000,48,,158925.8517
Armenia,2007,,,296000,44,,249018.2864
Australia,1920,263,,12895,6,,87924.35887
Australia,1921,286,,11043,6,,88311.64746
Australia,1922,72,,30710,6,,260066.3806
Australia,1923,278,,21105,7,,173872.0775
Australia,1924,365,,24302,7,,202656.9022
Australia,1925,405,,25002,7,,204741.378
Australia,1926,380,,26229,8,,213933.5468
Australia,1927,417,,40456,8,,338055.2898
Australia,1928,412,,23934,8,,198376.0385
Australia,1929,440,,22678,7,,187586.002
Australia,1930,320,,17246,7,,148037.2055
Australia,1931,232,,10815,6,,103583.6667
Australia,1932,225,,8534,6,,92562.81589
Australia,1933,399,,9726,6,,108362.1959
Australia,1934,526,,12679,8,,133972.04
Australia,1935,708,,15624,8,,161750.8673
Australia,1936,833,,29867,8,,305344.3983
Australia,1937,1106,,36568,8,,359059.1751
Australia,1938,1199,,55092,8,,556286.545
Australia,1939,1202,,67076,8,,683190.7512
Australia,1940,1326,,179418,82,,1807200.494
Australia,1941,1700,,550072,400,,5189561.76
Australia,1942,1793,,1032686,,,9025256.835
Australia,1943,1720,,1811765,680,,15154794.26
Australia,1944,1613,,1755318,680,,14331305.19
Australia,1945,1413,,1484291,596,,11812302.23
Australia,1946,1104,,1032619,103,,7277209.114
Australia,1947,1360,,397825,82,,2527376.978
Australia,1948,1401,,237440,61,,1429703.059
Australia,1949,1227,,182751,41,,1102023.519
Australia,1950,1275,,169340,38,,1008527.462
Australia,1951,1497,,295232,33,,1642428.565
Australia,1952,1577,,407711,32,,2230290.834
Australia,1953,1859,,417039,57,,2252725.838
Australia,1954,2179,,382379,54,,2046602.373
Australia,1955,2276,,401241,52,,2111672.589
Australia,1956,2390,,414808,52,,2111163.898
Australia,1957,2849,,392374,48,,1932141.122
Australia,1958,3122,,393208,46,,1894106.066
Australia,1959,3293,,407003,48,,1933264.25
Australia,1960,3620,,418895,47,,1962432.011
Australia,1961,3856,,436189,46,,2021478.054
Australia,1962,4190,,456385,49,,2089064.709
Australia,1963,4334,,480812,49,,2176544.758
Australia,1964,4841,,549866,53,,2451199.06
Australia,1965,5213,,698889,53,,3060535.84
Australia,1966,5650,,871263,59,,3710230.217
Australia,1967,6212,,1014541,72,,4198118.367
Australia,1968,6388,,1114710,80,,4424798.929
Australia,1969,6531,,1139156,82,,4310789.503
Australia,1970,6874,,1185192,86,,4258682.443
Australia,1971,6800,,1204491,86,,4120123.976
Australia,1972,6628,,1317515,86,,4319107.42
Australia,1973,7209,,1772656,71,,5511116.167
Australia,1974,7504,,2241752,68,,6396413.633
Australia,1975,7856,,2422694,70,,6326352.413
Australia,1976,7937,,2751572,71,,6811554.748
Australia,1977,7473,,2621716,70,,6109627.867
Australia,1978,7532,,2902930,70,,6322365.364
Australia,1979,7541,,3101174,70,,6238151.286
Australia,1980,7895,,3605227,71,,6652366.81
Australia,1981,7954,,4061221,72,,6854356.712
Australia,1982,7260,,4032104,73,,6407704.183
Australia,1983,5392,,5460087,73,,8348142.726
Australia,1984,4639,,4493023,71,,6633020.614
Australia,1985,6301,,4670000,70,,6681102.376
Australia,1986,6826,,4780000,71,,6702640.411
Australia,1987,6188,,5400000,70,,7383636.667
Australia,1988,6093,,6320000,71,,8350190.384
Australia,1989,6651,,6170000,70,,7846890.822
Australia,1990,6676,,7270000,68,,8916284.259
Australia,1991,6140,,7570000,68,,8984163.768
Australia,1992,6802,,7200000,68,,8354938.359
Australia,1993,7853,,7300000,68,,8274006.92
Australia,1994,8424,,7300000,65,,8101328.093
Australia,1995,8460,,8399000,65,,9131626.527
Australia,1996,8415,,8755000,65,,9347417.862
Australia,1997,8831,,8625000,65,,9053983.464
Australia,1998,8941,,7682000,65,,7977161.806
Australia,1999,8172,,7775000,55,,7951726.614
Australia,2000,7129,,7384000,51,,7384000
Australia,2001,7033,,6752000,51,,6602045.134
Australia,2002,7527,,9299000,51,,8954552.093
Australia,2003,7544,,11529000,54,,10884364.88
Australia,2004,7414,,13907000,53,,12778772.78
Australia,2005,7757,,15550000,52,,13842694.86
Australia,2006,7881,,17208000,53,,14863022.04
Australia,2007,7939,,20216000,52,,17007275.94
Austria,1919,102,,,29,,
Austria,1920,198,,5649,29,,38517.61948
Austria,1921,297,,5649,29,,45175.4502
Austria,1922,481,,18198,29,,154109.0196
Austria,1923,500,,8720,29,,71839.11469
Austria,1924,370,,8992,30,,74985.222
Austria,1925,464,,9723,30,,79621.647
Austria,1926,474,,10136,22,,82673.01195
Austria,1927,551,,11954,20,,99889.08776
Austria,1928,636,,13860,20,,114878.0769
Austria,1929,632,,14029,21,,116043.9202
Austria,1930,468,,15242,21,,130835.1551
Austria,1931,323,,14283,21,,136799.4
Austria,1932,205,,11340,21,,122997.6954
Austria,1933,226,,12054,21,,134299.6
Austria,1934,309,,19646,21,,207588.5084
Austria,1935,364,,21808,25,,225772.0759
Austria,1936,418,,23763,26,,242940.3333
Austria,1937,650,,39383,42,,386699.5048
Austria,1938,673,,41523,58,,419274.7805
Austria,1955,1823,,7209,15,,37939.91067
Austria,1956,2078,,38500,19,,195945.6184
Austria,1957,2509,,65923,23,,324620.2327
Austria,1958,2393,,76385,27,,367951.0382
Austria,1959,2512,,76500,31,,363375
Austria,1960,3163,,72724,35,,340696.1304
Austria,1961,3101,,72581,38,,336370.0108
Austria,1962,2970,,80247,38,,367324.0263
Austria,1963,2947,,100851,75,,456533.3549
Austria,1964,3194,,131736,55,,587254.2754
Austria,1965,3221,,114302,55,,500544.9615
Austria,1966,3193,,134183,55,,571411.6417
Austria,1967,3023,,141297,60,,584679.7034
Austria,1968,3467,,145865,55,,579005.5671
Austria,1969,3926,,154791,55,,585759.4727
Austria,1970,4079,,164722,55,,591886.1158
Austria,1971,3960,,172276,60,,589293.3016
Austria,1972,4070,,211984,60,,694930.735
Austria,1973,4238,,271910,60,,845357.2475
Austria,1974,4699,,351210,60,,1002111.042
Austria,1975,4068,,456221,50,,1191324.544
Austria,1976,4377,,499028,40,,1235350.753
Austria,1977,4093,,575724,37,,1341663.015
Austria,1978,4335,,741427,40,,1614772.793
Austria,1979,4917,,863330,40,,1736627.21
Austria,1980,4624,,947596,40,,1748504.652
Austria,1981,4656,,700215,40,,1181793.206
Austria,1982,4258,,829546,40,,1318290.742
Austria,1983,4411,,937463,50,,1433324.217
Austria,1984,4870,,792584,40,,1170086.601
Austria,1985,4660,,863940,40,,1235989.633
Austria,1986,4292,,1230000,39,,1724738.014
Austria,1987,4301,,1446000,70,,1977173.819
Austria,1988,4560,,1430000,55,,1889362.698
Austria,1989,5004,,1410000,48,,1793211.679
Austria,1990,4548,,1540000,43,,1888731.466
Austria,1991,4404,,1680000,44,,1993843.478
Austria,1992,3936,,1660000,52,,1926277.455
Austria,1993,4152,,1730000,52,,1960826.298
Austria,1994,4399,,1600000,45,,1775633.555
Austria,1995,4990,,2129000,45,,2314708.046
Austria,1996,4442,,2098000,45,,2239963.755
Austria,1997,5181,,1786000,48,,1874830.663
Austria,1998,5282,,1796000,60,,1865006.848
Austria,1999,5202,,1696000,49,,1734550.269
Austria,2000,5707,,1612000,40,,1612000
Austria,2001,5869,,1417000,35,,1385529.91
Austria,2002,6189,,1532000,35,,1475252.587
Austria,2003,6261,,1958000,35,,1848519.945
Austria,2004,6530,,2250000,37,,2067465.215
Austria,2005,7031,,2263000,39,,2014534.949
Austria,2006,7129,,2630000,40,,2271603.206
Austria,2007,7578,,3603000,40,,3031124.615
Azerbaijan,1991,384,,302500,,,359010.5072
Azerbaijan,1992,385,,189860,43,,220315.0829
Azerbaijan,1993,236,,128000,45,,145078.4775
Azerbaijan,1994,40,,132000,50,,146489.7683
Azerbaijan,1995,20,,107000,78,,116333.3776
Azerbaijan,1996,20,,133000,80,,141999.6089
