Entity,Year,Fruit consumption per capita- FAOstat
Algeria,1992,39.21
Algeria,1993,37.42
Algeria,1994,34.91
Algeria,1995,35.89
Algeria,1996,39.16
Algeria,1997,35.15
Algeria,1998,38.41
Algeria,1999,43.63
Algeria,2000,40.93
Algeria,2001,47.27
Algeria,2002,57.07
Algeria,2003,61.78
Algeria,2004,62.07
Algeria,2005,68.74
Algeria,2006,75.2
Algeria,2007,66.79
Algeria,2008,76.22
Algeria,2009,87.56
Algeria,2010,90.31
Algeria,2011,102.33
Algeria,2012,105.83
Algeria,2013,114.19
Angola,1961,48.54
Angola,1962,49.57
Angola,1963,51.39
Angola,1964,51.59
Angola,1965,51.97
Angola,1966,50.82
Angola,1967,50.89
Angola,1968,49.32
Angola,1969,53.44
Angola,1970,57.11
Angola,1971,54.52
Angola,1972,44.5
Angola,1973,48.61
Angola,1974,52.17
Angola,1975,44.07
Angola,1976,49.04
Angola,1977,45.79
Angola,1978,46.12
Angola,1979,45.14
Angola,1980,48.49
Angola,1981,45.87
Angola,1982,44.26
Angola,1983,43.51
Angola,1984,41.26
Angola,1985,38.92
Angola,1986,39.12
Angola,1987,39.35
Angola,1988,38.39
Angola,1989,36.55
Angola,1990,34.54
Angola,1991,35.1
Angola,1992,34.5
Angola,1993,32.7
Angola,1994,32.23
Angola,1995,32.24
Angola,1996,32.27
Angola,1997,31.2
Angola,1998,31.28
Angola,1999,27.66
Angola,2000,28.24
Angola,2001,30.62
Angola,2002,37.34
Angola,2003,44.75
Angola,2004,49.13
Angola,2005,55.81
Angola,2006,58.84
Angola,2007,62.83
Angola,2008,64.73
Angola,2009,79.9
Angola,2010,81.58
Angola,2011,78.86
Angola,2012,78.51
Angola,2013,90.34
Antigua and Barbuda,1961,107.5
Antigua and Barbuda,1962,109.83
Antigua and Barbuda,1963,104.8
Antigua and Barbuda,1964,108.77
Antigua and Barbuda,1965,105.84
Antigua and Barbuda,1966,130.47
Antigua and Barbuda,1967,124.04
Antigua and Barbuda,1968,129.81
Antigua and Barbuda,1969,124.65
Antigua and Barbuda,1970,137.28
Antigua and Barbuda,1971,124.57
Antigua and Barbuda,1972,113.1
Antigua and Barbuda,1973,100.61
Antigua and Barbuda,1974,102.54
Antigua and Barbuda,1975,109.39
Antigua and Barbuda,1976,104.99
Antigua and Barbuda,1977,99.45
Antigua and Barbuda,1978,107.47
Antigua and Barbuda,1979,115.05
Antigua and Barbuda,1980,141.76
Antigua and Barbuda,1981,136.07
Antigua and Barbuda,1982,138.07
Antigua and Barbuda,1983,131.74
Antigua and Barbuda,1984,156.81
Antigua and Barbuda,1985,153.22
Antigua and Barbuda,1986,157.62
Antigua and Barbuda,1987,167.56
Antigua and Barbuda,1988,176.86
Antigua and Barbuda,1989,143.12
Antigua and Barbuda,1990,147.42
Antigua and Barbuda,1991,144.54
Antigua and Barbuda,1992,181.64
Antigua and Barbuda,1993,205.85
Antigua and Barbuda,1994,185.66
Antigua and Barbuda,1995,150.15
Antigua and Barbuda,1996,166.08
Antigua and Barbuda,1997,140.05
Antigua and Barbuda,1998,123.22
Antigua and Barbuda,1999,156.62
Antigua and Barbuda,2000,164.91
Antigua and Barbuda,2001,154.31
Antigua and Barbuda,2002,148.15
Antigua and Barbuda,2003,151.75
Antigua and Barbuda,2004,156.29
Antigua and Barbuda,2005,190.83
Antigua and Barbuda,2006,187.57
Antigua and Barbuda,2007,226.18
Antigua and Barbuda,2008,192.95
Antigua and Barbuda,2009,194.27
Antigua and Barbuda,2010,182.86
Antigua and Barbuda,2011,173.78
Antigua and Barbuda,2012,150.9
Antigua and Barbuda,2013,157.78
Argentina,1961,77.03
Argentina,1962,72.43
Argentina,1963,69.75
Argentina,1964,72.82
Argentina,1965,68.87
Argentina,1966,74.2
Argentina,1967,78.08
Argentina,1968,78.57
Argentina,1969,91.73
Argentina,1970,98.61
Argentina,1971,100.86
Argentina,1972,92.32
Argentina,1973,84.51
Argentina,1974,113.61
Argentina,1975,100.38
Argentina,1976,87.61
Argentina,1977,93.75
Argentina,1978,80.12
Argentina,1979,91.02
Argentina,1980,100.69
Argentina,1981,92.04
Argentina,1982,81.04
Argentina,1983,83.29
Argentina,1984,78.57
Argentina,1985,83.02
Argentina,1986,75.06
Argentina,1987,82.71
Argentina,1988,76.53
Argentina,1989,62.66
Argentina,1990,62.86
Argentina,1991,83.15
Argentina,1992,88.17
Argentina,1993,90.74
Argentina,1994,99.47
Argentina,1995,94.4
Argentina,1996,90.34
Argentina,1997,105.62
Argentina,1998,100.19
Argentina,1999,97.62
Argentina,2000,109.5
Argentina,2001,116.7
Argentina,2002,85.38
Argentina,2003,84.14
Argentina,2004,84.67
Argentina,2005,77.06
Argentina,2006,77.86
Argentina,2007,65.91
Argentina,2008,75.34
Argentina,2009,75.12
Argentina,2010,74.65
Argentina,2011,91.34
Argentina,2012,80.48
Argentina,2013,76.42
Armenia,1992,61.23
Armenia,1993,36.97
Armenia,1994,54.36
Armenia,1995,64.81
Armenia,1996,67.76
Armenia,1997,51.82
Armenia,1998,52.41
Armenia,1999,41.16
Armenia,2000,48.28
Armenia,2001,48.61
Armenia,2002,43.13
Armenia,2003,40.28
Armenia,2004,46.92
Armenia,2005,100.45
Armenia,2006,96.75
Armenia,2007,90.88
Armenia,2008,111.93
Armenia,2009,119.46
Armenia,2010,70.43
Armenia,2011,82.32
Armenia,2012,117.61
Armenia,2013,110.87
Australia,1961,77.7
Australia,1962,77.23
Australia,1963,83.26
Australia,1964,79.79
Australia,1965,83.12
Australia,1966,77.04
Australia,1967,82.69
Australia,1968,82.15
Australia,1969,85.62
Australia,1970,88.49
Australia,1971,93.26
Australia,1972,89.49
Australia,1973,86.56
Australia,1974,77.57
Australia,1975,90.01
Australia,1976,86.08
Australia,1977,81.44
Australia,1978,76.54
Australia,1979,84.13
Australia,1980,89.56
Australia,1981,83.67
Australia,1982,80.02
Australia,1983,83.2
Australia,1984,86.4
Australia,1985,93.26
Australia,1986,89
Australia,1987,89.57
Australia,1988,85.41
Australia,1989,89.94
Australia,1990,90.41
Australia,1991,83.37
Australia,1992,87.74
Australia,1993,94.66
Australia,1994,90.57
Australia,1995,84.68
Australia,1996,82.05
Australia,1997,90.27
Australia,1998,86.58
Australia,1999,87.82
Australia,2000,90.96
Australia,2001,96.54
Australia,2002,95.31
Australia,2003,102.97
Australia,2004,101.11
Australia,2005,108.06
Australia,2006,100.74
Australia,2007,105.2
Australia,2008,101.63
Australia,2009,98.72
Australia,2010,100.03
Australia,2011,94.94
Australia,2012,91.47
Australia,2013,88.16
Austria,1961,133.96
Austria,1962,119.53
Austria,1963,126.48
Austria,1964,126.83
Austria,1965,101.5
Austria,1966,118.26
Austria,1967,112.54
Austria,1968,113.95
Austria,1969,113.76
Austria,1970,114.33
Austria,1971,109.09
Austria,1972,98.92
Austria,1973,120.59
Austria,1974,106.47
Austria,1975,114.46
Austria,1976,119.94
Austria,1977,111.62
Austria,1978,112.86
Austria,1979,124.71
Austria,1980,122.36
Austria,1981,102.73
Austria,1982,131.35
Austria,1983,123.55
Austria,1984,124.88
Austria,1985,115.33
Austria,1986,133.33
Austria,1987,122.45
Austria,1988,140.56
Austria,1989,148.53
Austria,1990,138.68
Austria,1991,140.34
Austria,1992,146.3
Austria,1993,165.26
Austria,1994,152.93
Austria,1995,120.02
Austria,1996,99.37
Austria,1997,119.45
Austria,1998,91.59
Austria,1999,112.87
Austria,2000,127.27
Austria,2001,129.79
Austria,2002,120.31
Austria,2003,140.33
Austria,2004,141.12
Austria,2005,143.72
Austria,2006,144.12
Austria,2007,149.7
Austria,2008,156.73
Austria,2009,130.51
Austria,2010,130.74
Austria,2011,155.8
Austria,2012,156.42
Austria,2013,154.11
Azerbaijan,1992,88.23
Azerbaijan,1993,74.62
Azerbaijan,1994,78.82
Azerbaijan,1995,82.15
Azerbaijan,1996,72.49
Azerbaijan,1997,45.06
Azerbaijan,1998,59.29
Azerbaijan,1999,61.83
Azerbaijan,2000,58.15
Azerbaijan,2001,59.52
Azerbaijan,2002,55.58
Azerbaijan,2003,52.44
Azerbaijan,2004,41.18
Azerbaijan,2005,56.77
Azerbaijan,2006,61.68
Azerbaijan,2007,54.12
Azerbaijan,2008,55.72
Azerbaijan,2009,63.44
Azerbaijan,2010,65.13
Azerbaijan,2011,69.92
Azerbaijan,2012,77.94
Azerbaijan,2013,74.93
Bahamas,1961,73.43
Bahamas,1962,72.27
Bahamas,1963,75.26
Bahamas,1964,74.14
Bahamas,1965,77.13
Bahamas,1966,82.23
Bahamas,1967,81.66
Bahamas,1968,87.95
Bahamas,1969,91.51
Bahamas,1970,93.15
Bahamas,1971,98.71
Bahamas,1972,95.29
Bahamas,1973,91.97
Bahamas,1974,91.29
Bahamas,1975,88.94
Bahamas,1976,92.03
Bahamas,1977,88.8
Bahamas,1978,90.09
Bahamas,1979,88.28
Bahamas,1980,106.34
Bahamas,1981,104.37
Bahamas,1982,118.67
Bahamas,1983,114.32
Bahamas,1984,114.56
Bahamas,1985,109.75
Bahamas,1986,123.94
Bahamas,1987,160.45
Bahamas,1988,143.3
Bahamas,1989,137.64
Bahamas,1990,121.04
Bahamas,1991,109.05
Bahamas,1992,116.47
Bahamas,1993,109.9
Bahamas,1994,100.94
Bahamas,1995,110.1
Bahamas,1996,109.73
Bahamas,1997,201.3
Bahamas,1998,218.45
Bahamas,1999,267.02
Bahamas,2000,299.42
Bahamas,2001,268.6
Bahamas,2002,247.33
Bahamas,2003,214.15
Bahamas,2004,325.48
Bahamas,2005,307.64
Bahamas,2006,237.59
Bahamas,2007,205.5
Bahamas,2008,231.95
Bahamas,2009,227.21
Bahamas,2010,261.08
Bahamas,2011,263.26
Bahamas,2012,291.61
Bahamas,2013,278.89
Bangladesh,1961,21.01
Bangladesh,1962,21.79
Bangladesh,1963,21.24
Bangladesh,1964,22.64
Bangladesh,1965,22.26
Bangladesh,1966,23.78
Bangladesh,1967,24.57
Bangladesh,1968,25.18
Bangladesh,1969,22.66
Bangladesh,1970,19.12
Bangladesh,1971,18.71
Bangladesh,1972,17.56
Bangladesh,1973,17.22
Bangladesh,1974,16.38
Bangladesh,1975,16.03
Bangladesh,1976,15.91
Bangladesh,1977,15.51
Bangladesh,1978,14.76
Bangladesh,1979,14.18
Bangladesh,1980,14.42
Bangladesh,1981,14.52
Bangladesh,1982,14.17
Bangladesh,1983,13.53
Bangladesh,1984,13.02
Bangladesh,1985,12.88
Bangladesh,1986,13.19
Bangladesh,1987,12.49
Bangladesh,1988,11.55
Bangladesh,1989,11.62
Bangladesh,1990,11.52
Bangladesh,1991,11.06
Bangladesh,1992,11.08
Bangladesh,1993,10.87
Bangladesh,1994,10.86
Bangladesh,1995,11.14
Bangladesh,1996,10.85
Bangladesh,1997,10.98
Bangladesh,1998,10.63
Bangladesh,1999,10.02
Bangladesh,2000,10.1
Bangladesh,2001,10.57
Bangladesh,2002,10.42
Bangladesh,2003,11.28
Bangladesh,2004,13.28
Bangladesh,2005,19.47
Bangladesh,2006,20.58
Bangladesh,2007,22.81
Bangladesh,2008,23.43
Bangladesh,2009,24.04
Bangladesh,2010,25.55
Bangladesh,2011,23.55
Bangladesh,2012,23
Bangladesh,2013,23.33
Belgium,2000,72.79
Belgium,2001,70.24
Belgium,2002,70.81
Belgium,2003,74.39
Belgium,2004,86.71
Belgium,2005,69.93
Belgium,2006,87.19
Belgium,2007,84.1
Belgium,2008,90.35
Belgium,2009,78.07
Belgium,2010,70.66
Belgium,2011,59.77
Belgium,2012,61.69
Belgium,2013,71.37
Barbados,1961,38.56
Barbados,1962,38.33
Barbados,1963,38.01
Barbados,1964,40.45
Barbados,1965,38.99
Barbados,1966,48.66
Barbados,1967,53.48
Barbados,1968,54.03
Barbados,1969,47.3
Barbados,1970,61.87
Barbados,1971,57.63
Barbados,1972,65.15
Barbados,1973,45.41
Barbados,1974,43.09
Barbados,1975,50.35
Barbados,1976,52.91
Barbados,1977,48.81
Barbados,1978,58.47
Barbados,1979,54.69
Barbados,1980,64.02
Barbados,1981,68.82
Barbados,1982,63.44
Barbados,1983,55.53
Barbados,1984,59.52
Barbados,1985,76.93
Barbados,1986,75.08
Barbados,1987,84.33
Barbados,1988,92.19
Barbados,1989,75.94
Barbados,1990,69.14
Barbados,1991,90.4
Barbados,1992,69.63
Barbados,1993,74.65
Barbados,1994,79.07
Barbados,1995,82.43
Barbados,1996,74.92
Barbados,1997,87.88
Barbados,1998,79.95
Barbados,1999,101.53
Barbados,2000,85.95
Barbados,2001,100.12
Barbados,2002,116.5
Barbados,2003,118.39
Barbados,2004,93.65
Barbados,2005,115.91
Barbados,2006,116.67
Barbados,2007,125.35
Barbados,2008,129.12
Barbados,2009,121.72
Barbados,2010,123.73
Barbados,2011,113.89
Barbados,2012,101.84
Barbados,2013,96.22
Belarus,1992,38.36
Belarus,1993,45.03
Belarus,1994,39.88
Belarus,1995,41.62
Belarus,1996,40.05
Belarus,1997,38.81
Belarus,1998,19.94
Belarus,1999,25.06
Belarus,2000,26.24
Belarus,2001,34.4
Belarus,2002,54.47
Belarus,2003,51.39
Belarus,2004,52.7
Belarus,2005,53.43
Belarus,2006,67.08
Belarus,2007,66.85
Belarus,2008,67.2
Belarus,2009,66.58
Belarus,2010,68.86
Belarus,2011,61.99
Belarus,2012,71.62
Belarus,2013,71.8
Belize,1961,90.41
Belize,1962,135.4
Belize,1963,129.15
Belize,1964,124.59
Belize,1965,121.88
Belize,1966,83.35
Belize,1967,77.79
Belize,1968,62.1
Belize,1969,62.06
Belize,1970,50.28
Belize,1971,97.25
Belize,1972,100.6
Belize,1973,127.02
Belize,1974,103.32
Belize,1975,142.49
Belize,1976,78.56
Belize,1977,69.79
Belize,1978,84.27
Belize,1979,65.24
Belize,1980,180.76
Belize,1981,213.65
Belize,1982,210.99
Belize,1983,55.03
Belize,1984,131.91
Belize,1985,132.74
Belize,1986,152.21
Belize,1987,229.43
Belize,1988,203.31
Belize,1989,212.23
Belize,1990,266.25
Belize,1991,230.2
Belize,1992,301.83
Belize,1993,273.69
Belize,1994,221.53
Belize,1995,250.44
Belize,1996,224.76
Belize,1997,230.47
Belize,1998,229.5
Belize,1999,247.44
Belize,2000,242.9
Belize,2001,267.66
Belize,2002,244.41
Belize,2003,249.43
Belize,2004,220.55
Belize,2005,253.45
Belize,2006,246.18
Belize,2007,267.02
Belize,2008,287.94
Belize,2009,239.27
Belize,2010,248.55
Belize,2011,200.29
Belize,2012,206.59
Belize,2013,170.32
Benin,1961,43.2
Benin,1962,42.28
Benin,1963,41.5
Benin,1964,40.63
Benin,1965,39.41
Benin,1966,38.37
Benin,1967,38.18
Benin,1968,37.9
Benin,1969,38.13
Benin,1970,37.79
Benin,1971,37.13
Benin,1972,36.82
Benin,1973,36.52
Benin,1974,36.56
Benin,1975,36.36
Benin,1976,36.02
Benin,1977,35.97
Benin,1978,35.54
Benin,1979,35
Benin,1980,34.68
Benin,1981,34.19
Benin,1982,34.25
Benin,1983,33.98
Benin,1984,34.12
Benin,1985,32.94
Benin,1986,32.19
Benin,1987,31.5
Benin,1988,32.27
Benin,1989,33.67
Benin,1990,32.69
Benin,1991,31.9
Benin,1992,31.1
Benin,1993,30.5
Benin,1994,29.99
Benin,1995,29.6
Benin,1996,35.51
Benin,1997,30
Benin,1998,23.6
Benin,1999,30.33
Benin,2000,22.03
Benin,2001,23.46
Benin,2002,26.84
Benin,2003,29.56
Benin,2004,28.74
Benin,2005,30.14
Benin,2006,25.16
Benin,2007,31.28
Benin,2008,31.58
Benin,2009,40.39
Benin,2010,44.72
Benin,2011,42.49
Benin,2012,53.05
Benin,2013,49.62
Bermuda,1961,122.82
Bermuda,1962,119.63
Bermuda,1963,133.63
Bermuda,1964,135.86
Bermuda,1965,136.49
Bermuda,1966,124.21
Bermuda,1967,134.38
Bermuda,1968,148.85
Bermuda,1969,139.27
Bermuda,1970,152.94
Bermuda,1971,142.37
Bermuda,1972,170.18
Bermuda,1973,172
Bermuda,1974,144.66
Bermuda,1975,143.06
Bermuda,1976,126.53
Bermuda,1977,113.66
Bermuda,1978,114.81
Bermuda,1979,115.57
Bermuda,1980,114.01
Bermuda,1981,114.71
Bermuda,1982,118.79
Bermuda,1983,128.07
Bermuda,1984,131.3
Bermuda,1985,136.23
Bermuda,1986,133.3
Bermuda,1987,125.4
Bermuda,1988,127.86
Bermuda,1989,133.1
Bermuda,1990,154.31
Bermuda,1991,138.26
Bermuda,1992,192.85
Bermuda,1993,195.07
Bermuda,1994,212.88
Bermuda,1995,252.76
Bermuda,1996,234.31
Bermuda,1997,200.23
Bermuda,1998,201.85
Bermuda,1999,194.16
Bermuda,2000,181.21
Bermuda,2001,137.31
Bermuda,2002,113.23
Bermuda,2003,95.69
Bermuda,2004,95.94
Bermuda,2005,88.98
Bermuda,2006,94.86
Bermuda,2007,91.12
Bermuda,2008,90.65
Bermuda,2009,96.75
Bermuda,2010,80.93
Bermuda,2011,61.1
Bermuda,2012,70.17
Bermuda,2013,215.2
Bosnia and Herzegovina,1992,22.84
Bosnia and Herzegovina,1993,25.12
Bosnia and Herzegovina,1994,24
Bosnia and Herzegovina,1995,28.23
Bosnia and Herzegovina,1996,31.89
Bosnia and Herzegovina,1997,39.03
Bosnia and Herzegovina,1998,33.25
Bosnia and Herzegovina,1999,24.63
Bosnia and Herzegovina,2000,29.6
Bosnia and Herzegovina,2001,30.66
Bosnia and Herzegovina,2002,29.96
Bosnia and Herzegovina,2003,56.98
Bosnia and Herzegovina,2004,104.85
Bosnia and Herzegovina,2005,100.38
Bosnia and Herzegovina,2006,87
Bosnia and Herzegovina,2007,86.78
Bosnia and Herzegovina,2008,87.3
Bosnia and Herzegovina,2009,96.7
Bosnia and Herzegovina,2010,89.56
Bosnia and Herzegovina,2011,90.83
Bosnia and Herzegovina,2012,78.37
Bosnia and Herzegovina,2013,106.76
Botswana,1961,11.6
Botswana,1962,11.49
Botswana,1963,11.68
Botswana,1964,11.8
Botswana,1965,11.77
Botswana,1966,11.89
Botswana,1967,11.69
Botswana,1968,11.47
Botswana,1969,11.69
Botswana,1970,11.73
Botswana,1971,11.98
Botswana,1972,11.96
Botswana,1973,11.79
Botswana,1974,11.84
Botswana,1975,12.95
Botswana,1976,12.43
Botswana,1977,12.79
Botswana,1978,12.96
Botswana,1979,14.39
Botswana,1980,15.19
Botswana,1981,15.5
Botswana,1982,14.91
Botswana,1983,15.18
Botswana,1984,15.31
Botswana,1985,14.33
Botswana,1986,13.59
Botswana,1987,13.78
Botswana,1988,16.81
Botswana,1989,24.92
Botswana,1990,33.48
Botswana,1991,38.93
Botswana,1992,41.03
Botswana,1993,48.21
Botswana,1994,35.13
Botswana,1995,32.76
Botswana,1996,33.07
Botswana,1997,38.84
Botswana,1998,41.83
Botswana,1999,60.78
Botswana,2000,65.08
Botswana,2001,46.54
Botswana,2002,63.9
Botswana,2003,44.83
Botswana,2004,38.44
Botswana,2005,39.29
Botswana,2006,42.93
Botswana,2007,50.12
Botswana,2008,57.1
Botswana,2009,47.72
Botswana,2010,51.05
Botswana,2011,47.06
Botswana,2012,58.89
Botswana,2013,66.11
Brazil,1961,70.54
Brazil,1962,74.21
Brazil,1963,77.99
Brazil,1964,76.98
Brazil,1965,79.39
Brazil,1966,79.41
Brazil,1967,84.05
Brazil,1968,86.28
Brazil,1969,91.77
Brazil,1970,93.56
Brazil,1971,89.71
Brazil,1972,98.82
Brazil,1973,78.85
Brazil,1974,90
Brazil,1975,84.45
Brazil,1976,94.56
Brazil,1977,91.65
Brazil,1978,82
Brazil,1979,87.29
Brazil,1980,94.25
Brazil,1981,73.37
Brazil,1982,87.84
Brazil,1983,81.03
Brazil,1984,63.06
Brazil,1985,110.07
Brazil,1986,76.27
Brazil,1987,90.1
Brazil,1988,102.84
Brazil,1989,112.25
Brazil,1990,90.09
Brazil,1991,101.5
Brazil,1992,102.18
Brazil,1993,82.42
Brazil,1994,77.91
Brazil,1995,107.81
Brazil,1996,107.15
Brazil,1997,122.55
Brazil,1998,105.23
Brazil,1999,118.66
Brazil,2000,109.45
Brazil,2001,84.63
Brazil,2002,111.27
Brazil,2003,98.79
Brazil,2004,104.51
Brazil,2005,99.38
Brazil,2006,109.37
Brazil,2007,109.29
Brazil,2008,114.53
Brazil,2009,117.11
Brazil,2010,129.6
Brazil,2011,139.2
Brazil,2012,108.22
Brazil,2013,93.19
Brunei,1961,34.16
Brunei,1962,35.92
Brunei,1963,47.21
Brunei,1964,36.06
Brunei,1965,47.73
Brunei,1966,52.85
Brunei,1967,51.56
Brunei,1968,48.6
Brunei,1969,49.98
Brunei,1970,55.77
Brunei,1971,58.84
Brunei,1972,59.03
Brunei,1973,56.94
Brunei,1974,59.53
Brunei,1975,61.54
Brunei,1976,61.76
Brunei,1977,53.61
Brunei,1978,69.79
Brunei,1979,65.84
Brunei,1980,77.7
Brunei,1981,85.84
Brunei,1982,81.44
Brunei,1983,74.26
Brunei,1984,72.42
Brunei,1985,70.58
Brunei,1986,72.45
Brunei,1987,68.93
Brunei,1988,77.79
Brunei,1989,70.31
Brunei,1990,71.69
Brunei,1991,69.66
Brunei,1992,87.28
Brunei,1993,79.98
Brunei,1994,99.46
Brunei,1995,74.34
Brunei,1996,93.36
Brunei,1997,89.78
Brunei,1998,102.42
Brunei,1999,78.6
Brunei,2000,71.77
Brunei,2001,91.46
Brunei,2002,97.35
Brunei,2003,99.6
Brunei,2004,89.3
Brunei,2005,95.27
Brunei,2006,88.42
Brunei,2007,86.05
Brunei,2008,89.68
Brunei,2009,93.04
Brunei,2010,97
Brunei,2011,71.77
Brunei,2012,80.91
Brunei,2013,76.51
Bulgaria,1961,79.55
Bulgaria,1962,91.2
Bulgaria,1963,103.71
Bulgaria,1964,100.79
Bulgaria,1965,115.43
Bulgaria,1966,121.19
Bulgaria,1967,117.37
Bulgaria,1968,139.43
Bulgaria,1969,137.07
Bulgaria,1970,132.72
Bulgaria,1971,121.67
Bulgaria,1972,102.64
Bulgaria,1973,103.59
Bulgaria,1974,93.57
Bulgaria,1975,98.57
Bulgaria,1976,101.47
Bulgaria,1977,85.26
Bulgaria,1978,85.92
Bulgaria,1979,79.46
Bulgaria,1980,80.46
Bulgaria,1981,84.65
Bulgaria,1982,82.22
Bulgaria,1983,85.16
Bulgaria,1984,87.47
Bulgaria,1985,79.66
Bulgaria,1986,86.09
Bulgaria,1987,77.65
Bulgaria,1988,75.55
Bulgaria,1989,79.59
Bulgaria,1990,81.59
Bulgaria,1991,68.62
Bulgaria,1992,71.68
Bulgaria,1993,54.69
Bulgaria,1994,54.08
Bulgaria,1995,67.3
Bulgaria,1996,61.15
Bulgaria,1997,54.78
Bulgaria,1998,46.14
Bulgaria,1999,49.44
Bulgaria,2000,51.58
Bulgaria,2001,50.72
Bulgaria,2002,44.3
Bulgaria,2003,37.89
Bulgaria,2004,41.39
Bulgaria,2005,32.75
Bulgaria,2006,33.59
Bulgaria,2007,49.7
Bulgaria,2008,34.31
Bulgaria,2009,36.46
Bulgaria,2010,35.83
Bulgaria,2011,46.44
Bulgaria,2012,56.85
Bulgaria,2013,70.43
Burkina Faso,1961,5.61
Burkina Faso,1962,5.63
Burkina Faso,1963,5.92
Burkina Faso,1964,5.64
Burkina Faso,1965,5.68
Burkina Faso,1966,5.93
Burkina Faso,1967,6.12
Burkina Faso,1968,6.4
Burkina Faso,1969,6.61
Burkina Faso,1970,6.84
Burkina Faso,1971,7.1
Burkina Faso,1972,6.79
Burkina Faso,1973,6.35
Burkina Faso,1974,5.72
Burkina Faso,1975,5.95
Burkina Faso,1976,6.13
Burkina Faso,1977,6.44
Burkina Faso,1978,6.85
Burkina Faso,1979,7.58
Burkina Faso,1980,7.56
Burkina Faso,1981,7.71
Burkina Faso,1982,7.76
Burkina Faso,1983,7.95
Burkina Faso,1984,7.51
Burkina Faso,1985,7.5
Burkina Faso,1986,7.46
Burkina Faso,1987,7.31
Burkina Faso,1988,7.25
Burkina Faso,1989,7.05
Burkina Faso,1990,7.01
Burkina Faso,1991,6.98
Burkina Faso,1992,6.93
Burkina Faso,1993,6.95
Burkina Faso,1994,6.92
Burkina Faso,1995,6.97
Burkina Faso,1996,7.18
Burkina Faso,1997,7.53
Burkina Faso,1998,7.53
Burkina Faso,1999,8.08
Burkina Faso,2000,7.81
Burkina Faso,2001,7
Burkina Faso,2002,7.07
